Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
KOMATSU HD785,84.8,Waste,7.5,5.1,39,2.6,3307.2
KOMATSU HD785,84.8,Waste,10,2.6,41,2.6,3476.8
KOMATSU HD785,84.8,Waste,9.9,2.7,6,4.2,508.8
KOMATSU HD785,84.8,Waste,9.1,3.5,4,4.8,339.2
KOMATSU HD785,84.8,High Grade,7.6,5,10,4.8,848
CAT 777F,84.8,Low Grade,9.7,2.9,8,0.8,678.4
CAT 785C,135.15,Waste,11,1.6,7,1.6,946.05
KOMATSU HD785,84.8,Waste,10,2.6,21,2.2,1780.8
KOMATSU HD785,84.8,Waste,10,2.6,44,2.3,3731.2
KOMATSU HD785,84.8,Waste,8.2,4.4,29,2.5,2459.2
KOMATSU HD785,84.8,Waste,7.7,4.9,46,2.5,3900.8
KOMATSU HD785,84.8,Waste,9.9,2.7,41,2.6,3476.8
KOMATSU HD785,84.8,High Grade,8.1,4.5,7,2.8,593.6
CAT 777F,84.8,Low Grade,4.3,8.3,1,2.9,84.8
CAT 785C,135.15,Waste,10.5,2.1,19,3,2567.85
KOMATSU HD785,84.8,Waste,9.8,2.8,38,3,3222.4
CAT 777E,84.8,Waste,8.9,3.7,24,3.4,2035.2
KOMATSU HD785,84.8,Waste,9.9,2.7,24,3.5,2035.2
CAT 777E,84.8,High Grade,10.3,2.3,4,3.8,339.2
CAT 777E,84.8,Waste,10.5,2.1,4,4.9,339.2
CAT 777E,84.8,High Grade,9.8,2.8,3,7.7,254.4
CAT 777F,84.8,High Grade,8.8,3.8,8,0.8,678.4
CAT 777E,84.8,Waste,9,3.6,3,2.4,254.4
KOMATSU HD785,84.8,Waste,10,2.6,41,2.6,3476.8
KOMATSU HD785,84.8,Waste,6.9,5.7,42,2.6,3561.6
CAT 777F,84.8,Waste,6.1,6.5,4,3.2,339.2
CAT 777F,84.8,Waste,6.7,5.9,13,3.3,1102.4
CAT 785C,135.15,Waste,9,3.6,7,3.8,946.05
CAT 777E,84.8,Waste,6.9,5.8,17,0.7,1441.6
CAT 777E,84.8,Waste,9.9,2.8,30,1.6,2544
CAT 777F,84.8,Low Grade,7.7,5,2,1.7,169.6
CAT 785C,135.15,Waste,10.3,2.4,4,1.7,540.6
CAT 777E,84.8,Waste,10.7,2,7,1.7,593.6
KOMATSU HD785,84.8,Waste,6.4,6.3,11,1.9,932.8
KOMATSU HD785,84.8,Waste,9.7,3,41,1.9,3476.8
CAT 777F,84.8,Waste,10.1,2.6,5,2.1,424
CAT 777E,84.8,Waste,10,2.7,2,2.6,169.6
KOMATSU HD785,84.8,Waste,9.5,3.2,43,2.6,3646.4
CAT 785C,135.15,Waste,10.5,2.2,17,2.9,2297.55
CAT 777F,84.8,Waste,9.5,3.2,29,3,2459.2
KOMATSU HD785,84.8,Waste,9.4,3.3,36,3.7,3052.8
KOMATSU HD785,84.8,High Grade,9,3.7,8,5.5,678.4
CAT 777E,84.8,Waste,9.2,3.5,4,2.1,339.2
CAT 777F,84.8,Waste,7.7,5,6,2.4,508.8
KOMATSU HD785,84.8,Waste,7.9,4.8,46,2.5,3900.8
CAT 777F,84.8,Waste,9.1,3.6,7,3.3,593.6
CAT 785C,135.15,Waste,11.2,1.5,8,3.3,1081.2
CAT 785C,135.15,Waste,8.5,4.2,7,3.8,946.05
